Quarters,Value,Type,Job Vacancies (Thousands
2022 Q1,19138,Clothing and footwear,1294
2022 Q2,18010,Clothing and footwear,1273
2022 Q3,18012,Clothing and footwear,1233
2018 Q1,86307,Housing,815
2018 Q2,86165,Housing,834
2018 Q3,86721,Housing,856
2018 Q4,87601,Housing,857
2019 Q1,87226,Housing,840
2019 Q2,88604,Housing,817
2019 Q3,88017,Housing,811
2019 Q4,88363,Housing,818
2020 Q1,88950,Housing,635
2020 Q2,89416,Housing,374
2020 Q3,89390,Housing,525
2020 Q4,89955,Housing,615
2021 Q1,90997,Housing,685
2021 Q2,91953,Housing,960
2021 Q3,91500,Housing,1179
2021 Q4,93076,Housing,1260
2022 Q1,94171,Housing,1294
2022 Q2,97580,Housing,1273
2022 Q3,99342,Housing,1233
2018 Q1,16167,"Furnishings, household equipment and routine maintenance of the house",815
2018 Q2,15978,"Furnishings, household equipment and routine maintenance of the house",834
2018 Q3,16136,"Furnishings, household equipment and routine maintenance of the house",856
2018 Q4,16497,"Furnishings, household equipment and routine maintenance of the house",857
2019 Q1,16417,"Furnishings, household equipment and routine maintenance of the house",840
2019 Q2,16990,"Furnishings, household equipment and routine maintenance of the house",817
2019 Q3,16892,"Furnishings, household equipment and routine maintenance of the house",811
2019 Q4,16514,"Furnishings, household equipment and routine maintenance of the house",818
2020 Q1,16919,"Furnishings, household equipment and routine maintenance of the house",635
2020 Q2,15886,"Furnishings, household equipment and routine maintenance of the house",374
2020 Q3,18377,"Furnishings, household equipment and routine maintenance of the house",525
2020 Q4,17577,"Furnishings, household equipment and routine maintenance of the house",615
2021 Q1,17049,"Furnishings, household equipment and routine maintenance of the house",685
2021 Q2,19073,"Furnishings, household equipment and routine maintenance of the house",960
2021 Q3,18520,"Furnishings, household equipment and routine maintenance of the house",1179
2021 Q4,18799,"Furnishings, household equipment and routine maintenance of the house",1260
2022 Q1,19732,"Furnishings, household equipment and routine maintenance of the house",1294
2022 Q2,19792,"Furnishings, household equipment and routine maintenance of the house",1273
2022 Q3,19656,"Furnishings, household equipment and routine maintenance of the house",1233
2018 Q1,6930,Health,815
2018 Q2,7075,Health,834
2018 Q3,7002,Health,856
2018 Q4,7233,Health,857
2019 Q1,7350,Health,840
2019 Q2,7135,Health,817
2019 Q3,7056,Health,811
2019 Q4,7068,Health,818
2020 Q1,6936,Health,635
2020 Q2,4839,Health,374
2020 Q3,5903,Health,525
2020 Q4,6630,Health,615
2021 Q1,6105,Health,685
2021 Q2,6380,Health,960
2021 Q3,6542,Health,1179
2021 Q4,6467,Health,1260
2022 Q1,6476,Health,1294
2022 Q2,6798,Health,1273
2022 Q3,6992,Health,1233
2018 Q1,46569,Transport,815
2018 Q2,47469,Transport,834
2018 Q3,47141,Transport,856
2018 Q4,47708,Transport,857
2019 Q1,48321,Transport,840
2019 Q2,48791,Transport,817
2019 Q3,48324,Transport,811
2019 Q4,47843,Transport,818
2020 Q1,43134,Transport,635
2020 Q2,16993,Transport,374
2020 Q3,34752,Transport,525
2020 Q4,32082,Transport,615
2021 Q1,29412,Transport,685
2021 Q2,36159,Transport,960
2021 Q3,40749,Transport,1179
2021 Q4,44046,Transport,1260
2022 Q1,44800,Transport,1294
2022 Q2,47229,Transport,1273
2022 Q3,47828,Transport,1233
2018 Q1,7224,Communication,815
2018 Q2,6968,Communication,834
2018 Q3,6990,Communication,856
2018 Q4,7091,Communication,857
2019 Q1,6878,Communication,840
2019 Q2,6969,Communication,817
2019 Q3,6978,Communication,811
2019 Q4,7132,Communication,818
2020 Q1,7308,Communication,635
2020 Q2,7000,Communication,374
2020 Q3,7328,Communication,525
2020 Q4,6916,Communication,615
2021 Q1,6958,Communication,685
2021 Q2,7191,Communication,960
2021 Q3,7101,Communication,1179
2021 Q4,7085,Communication,1260
2022 Q1,7314,Communication,1294
2022 Q2,7195,Communication,1273
2022 Q3,7170,Communication,1233
2018 Q1,31384,Recreation and culture,815
2018 Q2,30529,Recreation and culture,834
2018 Q3,31283,Recreation and culture,856
2018 Q4,32393,Recreation and culture,857
2019 Q1,32468,Recreation and culture,840
2019 Q2,33364,Recreation and culture,817
2019 Q3,33332,Recreation and culture,811
2019 Q4,33222,Recreation and culture,818
2020 Q1,32434,Recreation and culture,635
2020 Q2,24282,Recreation and culture,374
2020 Q3,28004,Recreation and culture,525
2020 Q4,29688,Recreation and culture,615
2021 Q1,30417,Recreation and culture,685
2021 Q2,32945,Recreation and culture,960
2021 Q3,33430,Recreation and culture,1179
2021 Q4,34283,Recreation and culture,1260
2022 Q1,35702,Recreation and culture,1294
2022 Q2,35861,Recreation and culture,1273
2022 Q3,36082,Recreation and culture,1233
2018 Q1,7134,Education,815
2018 Q2,7227,Education,834
2018 Q3,7294,Education,856
2018 Q4,7339,Education,857
2019 Q1,7361,Education,840
2019 Q2,7391,Education,817
2019 Q3,7431,Education,811
2019 Q4,7480,Education,818
2020 Q1,7658,Education,635
2020 Q2,7530,Education,374
2020 Q3,7611,Education,525
2020 Q4,7810,Education,615
2021 Q1,8088,Education,685
2021 Q2,8235,Education,960
2021 Q3,8378,Education,1179
2021 Q4,8522,Education,1260
2022 Q1,8664,Education,1294
2022 Q2,8810,Education,1273
2022 Q3,8961,Education,1233
2018 Q1,34526,Restaurants and hotels,815
2018 Q2,34954,Restaurants and hotels,834
2018 Q3,34914,Restaurants and hotels,856
2018 Q4,34996,Restaurants and hotels,857
2019 Q1,35318,Restaurants and hotels,840
2019 Q2,35539,Restaurants and hotels,817
2019 Q3,36028,Restaurants and hotels,811
2019 Q4,36289,Restaurants and hotels,818
2020 Q1,33919,Restaurants and hotels,635
2020 Q2,6541,Restaurants and hotels,374
2020 Q3,25088,Restaurants and hotels,525
2020 Q4,21637,Restaurants and hotels,615
2021 Q1,15792,Restaurants and hotels,685
2021 Q2,29223,Restaurants and hotels,960
2021 Q3,38117,Restaurants and hotels,1179
2021 Q4,36769,Restaurants and hotels,1260
2022 Q1,40288,Restaurants and hotels,1294
2022 Q2,42914,Restaurants and hotels,1273
2022 Q3,43141,Restaurants and hotels,1233
